rule_id,column_regex,year_rule,note
gdl_sy,^gdl_,survey_year,GDL subnational HDI at the year nearest the survey (script 59).
mimi_glss7,^mimi_,fixed:2016,Tang et al. 2026 MIMI estimates from GLSS7 2016/17 (Ghana only).
spam_2010,^spam_,fixed:2010,MapSPAM 2010 v2 crop allocation.
glw4,^glw_,fixed:2015,Gridded Livestock of the World 4: reference year 2015 (released 2022; the block's source string says 2020).
wpop_density_sy,^wpop_log_density_survey_year$,survey_year,WorldPop density at each country's survey year (script 08 step 6).
wpop_2020,^wpop_,fixed:2020,WorldPop age-sex collection is a single 2020 vintage (script 08 caveat).
ghsl_epoch,^(ghs_pop|built_surface|built_surface_nres|ghsl_smod_mean)$,epoch5_nearest:1975-2030,"GHSL P2023A 5-year epochs, nearest to the survey year (Gambia 2018 -> 2020, the others -> 2015)."
gpw_2010,^gpw2010_,fixed:2010,"GPW v4.11 basic demographic characteristics, 2010 round."
popdens_epoch,^popdens_y(\d{4})$,from_name,GPW v4.11 UN-adjusted density at the epoch in the column name.
rwi_2019,^rwi_,fixed:2019,"Meta Relative Wealth Index (Chi et al. 2022), imagery 2016-2020."
wsf_2015,^wsf$,fixed:2015,World Settlement Footprint 2015.
ccnl_2013,^ntl_ccnl$,fixed:2013,Consistent corrected night-time lights end in 2013; the nearest year <= 2013 is 2013 for every survey.
ghm_2016,^human_modification$,fixed:2016,Global Human Modification 2016.
access_2019,^access_healthcare_min$,fixed:2019,MAP accessibility to healthcare 2019.
grassland_gpw,^grassland_frac$,nearest_in_range:2000-2022,"Global Pasture Watch annual grassland class, year nearest the survey (verify the extraction year in the targets store)."
lcover_copernicus,^lcover_,nearest_in_range:2015-2019,Copernicus 100 m land cover is annual 2015-2019; nearest year to the survey (Sierra Leone 2013 -> 2015).
lst_oxford,^lst_night_,nearest_in_range:2001-2020,"Oxford MAP gap-filled night LST monthly, year nearest the survey; the layer manifest lists availability to 2015, so the Gambia 2018 and Ghana 2017 values may be 2015 - verify in the targets store."
ndvi_avhrr_year,^ndvi_y(\d{4})$,from_name,"NOAA AVHRR CDR v5 annual NDVI at the year in the name (superseded by MODIS NDVI, 2026-09-15)."
ndvi_modis,^ndvi_modis_,survey_year,MOD13Q1 NDVI at the survey year / fieldwork window (scripts/covariates/extract_gee_ndvi_modis.py); the climatology and anomaly columns are relative to 2001-2020.
precip_trmm_year,^precip_y(\d{4})$,from_name,TRMM 3B43 annual mean precipitation at the year in the name (TRMM ends 2019).
gee_t0,_t0$,survey_year,Annual value at the survey year (the legacy GEE pipeline's t0 convention).
koppen_static,^koppen_,static,Koppen-Geiger 1991-2020 climate classification.
aez_static,^aez16_,static,IFPRI / HarvestChoice agro-ecological zones (2009 delineation).
water_static,^wdist_,static,Distance to surface water / coast from the JRC GSW occurrence layer (1984-2021) and LSIB.
soil_static,^(soil_|soilgrids_|elevation$),static,"Soil properties (iSDA 2020 product, SoilGrids v2) and SRTM elevation: static."
